,SMA,Month_,Date_,Day_,Post,Post Format,Impressions,Click-Through-Rate,Retweets/Shares,Likes,Video Views,Link Clicks,Detail Expands,Hashtag Clicks,User Profile Clicks,Media Engagements,Total Engagements,Engagements,Follows,Replies,Post/Tweet Length,Account
130,LinkedIn,February,2020-02-28,Tuesday,"#SaaStrAnnual is here and the team at Lohika is excited to join over 15,000 CEOs and investors at this year's event. Join us at Booth 1317 and use our link to get a 20% off discount code. ????

#SaaStr #SaaStr2020 #Saas #Startups #SaaStrSpeaker",Image,484,0.0289,0.0,7.0,0.0,14,,,,,21,0.0,,,244.0,Twitter
131,Facebook,March,2020-03-02,Monday,"The SaaStr Annual Conference is a once-in-a-lifetime opportunity to meet some of the greatest minds in the industry and for the second year in a row, Lohika Is a proud sponsor of this event. Curious to know some of the sessions we are looking forward to attending? Find out here: https://bit.ly/38c6GlN #SaaStrAnnual #SaaStr2020 #SaaS #B2B #Startups",Article,23,0.0,0.0,0.0,0.0,0,,,,,0,0.0,,,349.0,Facebook
132,LinkedIn,March,2020-03-02,Monday,"The SaaStr Annual Conference is a once-in-a-lifetime opportunity to meet some of the greatest minds in the industry and for the second year in a row, Lohika Is a proud sponsor of this event. 

Curious to know some of the sessions we are looking forward to attending? Find out here: https://bit.ly/38c6GlN

#SaaStrAnnual #SaaStr2020 #SaaS #B2B #Startups",Article,494,0.0101,0.0,3.0,0.0,5,,,,,8,0.0,,,352.0,Twitter
133,LinkedIn,March,2020-03-02,Monday,"We are excited to announce the launch of the new Lohika website! ?? 

Throughout the redesign, our main focus has been to provide you with a more streamlined experience, that makes the knowledge on the services we provide clearer and more navigable. 

Leave us a comment below on your experience… We'd love to hear from you! 
?? https://www.lohika.com/

#Lohika #WhatWeDo #HowWeDoIt #Insights #Events #Engineering #SoftwareDevelopment #EngineeringLeadership #Growth",Image,6774,0.0112,18.0,31.0,0.0,76,,,,,125,0.0,,,465.0,Twitter
134,Facebook,March,2020-03-02,Monday,"We are excited to announce the launch of the new Lohika website! ?? Throughout the redesign, our main focus has been to provide you with a more streamlined experience, that makes the knowledge on the services we provide clearer and more navigable. Leave us a comment below on your experience… We'd love to hear from you! ?? https://www.lohika.com/ #Lohika #WhatWeDo #HowWeDoIt #Insights #Events #Engineering #SoftwareDevelopment #EngineeringLeadership #Growth",Image,660,0.0409,0.0,0.0,0.0,27,,,,,30,30.0,,,459.0,Twitter
135,Facebook,March,2020-03-03,Tuesday,"Over a span of six years, our partnership with Twilio helped in getting them to market faster with a smarter way to scale up. Here's how ??: http://bit.ly/32CWW2C #SoftwareDev #ProductDevelopment #EngineeringTalent #Collaboration #Software",Graphic,44,0.0,0.0,0.0,0.0,0,,,,,0,0.0,,,239.0,Facebook
136,Twitter,March,2020-03-03,Tuesday,"We are excited to announce the launch of the new Lohika website! ðŸ‘ ðŸ† 

Take a lookâ€¦ We would love to know what you think! ðŸ‘‰ https://t.co/baWa1knbhp

#Lohika #WhatWeDo #HowWeDoIt #Insights #Events #Engineering #SoftwareDevelopment #EngineeringLeadership https://t.co/fTGm0Fa9sH",Image,287,0.0005,15440.0,4.0,11.0,7,7.0,29.0,0.0,7.0,7,16.0,9.0,,,LinkedIn
137,Twitter,March,2020-03-03,Tuesday,"Lohika is a proud sponsor of the #SaaStrAnnual conferenceâ€¦ A once in a lifetime opportunity to meet some of the greatest minds in the industry. 

Curious to know some of the sessions we are looking forward to attending? Find out here: https://t.co/o1T4lbXPmO

#SaaStr2020 #SaaS https://t.co/06baICH3Pj",Article,303,0.0005,2240.0,1.0,5.0,0,1.0,1.0,1.0,0.0,0,66.0,66.0,,,LinkedIn
138,Twitter,March,2020-03-03,Tuesday,"Over a span of six years, our partnership with Twilio helped in getting them to market faster with a smarter way to scale up. Here's how: https://t.co/wHoKCjHzea

#SoftwareDev #ProductDevelopment #EngineeringTalent #Collaboration #Software https://t.co/XA25nIKN6Y",Graphic,263,0.0008,9675.0,1.0,7.0,36,8.0,40.0,13.0,15.0,36,156.0,120.0,,,LinkedIn
139,Twitter,March,2020-03-03,Tuesday,"From the 3 glaring mistakes product teams tend to make to the 8 common Pitfalls #SaaS companies make at the early stages, what sessions are you looking forward to attending at this year's #SaaStrAnnual conference? https://t.co/CRXz3EeU3z

#SaaStr2020 #B2B #Startups #Software",Article,275,0.0041,8058.0,0.0,3.0,0,33.0,51.0,3.0,9.0,0,99.0,99.0,,,LinkedIn
140,LinkedIn,March,2020-03-03,Tuesday,"Join Meetup's CEO David Siegel at this year's #SaaStrAnnual conference and find out how you can use the Lean Startup methodology to recruit talent, run your business and focus on influencer marketing. ?? 

Lohika's Dennis Shiao ?? also got the chance to interview David and get his insight on various topics including the key to scaling a SaaS business, things a CEO should look out for in an engineering leader and lots more… ?? 

Check out the article ?? http://bit.ly/2Idjeyy and we look forward to meeting you on the 10th of March at the SaaStr Annual Conference…

#SaaStr2020 #B2B #Startups #Software #SaaS",Article,2508,0.006,1.0,9.0,0.0,15,,,,,25,0.0,,,611.0,Twitter
141,LinkedIn,March,2020-03-03,Tuesday,"Over a span of six years, our partnership with Twilio helped in getting them to market faster with a smarter way to scale up. Here's how: http://bit.ly/32CWW2C

#SoftwareDev #ProductDevelopment #EngineeringTalent #Collaboration #Software",Graphic,1917,0.0078,1.0,9.0,0.0,15,,,,,25,0.0,,,237.0,Twitter
142,Facebook,March,2020-03-03,Tuesday,"Join Meetup CEO David Siegel at this year's #SaaStrAnnual conference and find out how you can use the Lean Startup methodology to recruit talent, run your business and focus on influencer marketing. ?? Lohika's Dennis Shiao also got the chance to interview David and get his insight on various topics including the key to scaling a SaaS business, things a CEO should look out for in an engineering leader and lots more… ?? Check out the article ?? http://bit.ly/2Idjeyy and we look forward to meeting you on the 10th of March at the SaaStr Annual Conference…",Article,34,0.0588,0.0,0.0,0.0,2,,,,,2,2.0,,,558.0,Twitter
143,Twitter,March,2020-03-04,Wednesday,"#SaaStr20 is less than a week away! Have you secured your seat yet? Use our discount code Lohika20 to get 20% off your ticket and join us at Booth 1317. See you there! ðŸ‘‰ https://t.co/EEgrbRQSJp

#SaaStr #SaaStr2020 #SaaStrSpeaker #SaaS #B2B #Startups https://t.co/tvsqm8HqSq",Image,277,0.0007,1493.0,1.0,8.0,1,1.0,0.0,2.0,1.0,1,15.0,14.0,,,LinkedIn
144,LinkedIn,April,2020-03-04,Friday,"The concept of distributed teams is prevalent now more than ever. Skyscanner's Engineering manager Ardy Dedase shares practical guidelines you can implement to ensure productivity working with multiple teams and across multiple time zones.

#DistributedTeams #RemoteWork #EngineeringLeaders #Engineering #EngineeringTeams #Leadership",Article,592,0.0084,0.0,6.0,0.0,5,,,,,11,,,,333.0,Twitter
145,Facebook,March,2020-03-04,Wednesday,"At Lohika, we have a passion for building what hasn't been built… Yet! Learn more about our journey and how we help growth stage companies scale their teams to build the next Big Thing. ?? www.lohika.com #Lohika #WhatWeDo #HowWeDoIt #Engineering #Startups #LifeAtLohika #SoftwareDevelopment #EngineeringLeadership #Growth",Video,208,0.0962,0.0,0.0,65.0,20,,,,,73,8.0,,,321.0,Twitter
146,LinkedIn,March,2020-03-05,Thursday,"At Lohika, we have a passion for building what hasn't been built… Yet! Learn more about our journey and how we help growth stage companies scale their teams to build the next Big Thing. ?? www.lohika.com

#Lohika #WhatWeDo #HowWeDoIt #Engineering #Start #LifeAtLohika #SoftwareDevelopment #EngineeringLeadership #Growth",Video,2323,0.0168,3.0,22.0,1086.0,39,,,,,1150,0.0,,,319.0,Twitter
147,Twitter,March,2020-03-06,Friday,@Meetup @Davidmeirsiegel Big thanks to David for the Q&amp;A. We hope to catch David at the re-scheduled SaaStr Bi-Annual in September!,Status Update,135,0.0,174.0,0.0,3.0,0,0.0,6.0,0.0,0.0,0,9.0,9.0,,,LinkedIn
148,Twitter,March,2020-03-07,Saturday,"The @Lohika Lohika team was definitely looking forward to attending the #SaaStr Annual conference however the health and safety of our team and all #SaaStr attendees is of utmost importance. 

Stay safe and see you all in September! ðŸ¤žðŸ¤ž https://t.co/y4aRKgaokV",Status Update,265,0.0,2052.0,0.0,4.0,0,0.0,1.0,0.0,13.0,0,18.0,18.0,,,LinkedIn
149,LinkedIn,July,2020-03-07,Friday,"George Guimarães, CEO at SourceLevel highlights key metrics you should consider measuring if you're a CTO, Engineering Manager, or a Tech Lead and how to make your engineering team understand that those metrics are there to help them focus on the next big issue for improvement. 
 
 #engineering #engineeringleadership #engineeringteams #softwaredevelopment #coding #continousimprovement",Article,965,0.0155,1.0,5.0,,15,,,,,21,,,,387.0,Twitter
150,LinkedIn,August,2020-03-08,Monday,"Polycom needed a team of core developers to help augment their security services, in a highly competitive landscape for talent. Discover how the talent on tap at Lohika can help you win over the competition. https://bit.ly/2D8mGf8
 
 #security #engineeringtalent #engineeringleadership #software #engineeringexcellence",Video,1387,0.0087,0.0,52.0,260.0,12,,,,,329,,,5.0,318.0,Twitter
151,Facebook,March,2020-03-09,Monday,The Lohika team was definitely looking forward to attending the #SaaStr Annual conference however the health and safety of our team and all #SaaStr attendees is of utmost importance. Stay safe and see you all in September! ????,Image,44,0.0,0.0,0.0,0.0,0,,,,,0,0.0,,,227.0,Facebook
152,Twitter,March,2020-03-09,Monday,"With the launch of our new website, we are excited to kick off our first video highlighting our partnership with Okta! From managing metadata to building mobile SDKs, find out more on how we helped scale their engineering organization: https://t.co/zC6Yoh629L

#Software #Lohika https://t.co/g6BBI5VxqS",Video,302,0.0001,15078.0,0.0,5.0,6894,1.0,25.0,0.0,12.0,7,6944.0,50.0,,,LinkedIn
153,LinkedIn,March,2020-03-09,Monday,"The Lohika team was definitely looking forward to attending the #SaaStr Annual conference however the health and safety of our team and all #SaaStr attendees is of utmost importance. 

Stay safe and see you all in September! ??????",Status Update,878,0.0034,0.0,2.0,0.0,3,,,,,5,0.0,,,231.0,Facebook
154,LinkedIn,March,2020-03-09,Monday,#IWD2020 What have you done today to support diversity and inclusion? https://lnkd.in/dGtuuDj,Status Update,718,0.007,0.0,3.0,0.0,5,,,,,8,0.0,,,93.0,Twitter
155,LinkedIn,March,2020-03-09,Monday,"With the launch of our new website, we are excited to kick off our first video highlighting our partnership with Okta! From managing metadata to building mobile SDKs, find out more on how we helped scale their engineering organization: http://bit.ly/32ChGYt

#ClientManagement #SoftwareEngineering #ProductDevelopers #LohikaDevs",Video,3868,0.0114,3.0,12.0,1150.0,44,,,,,1209,0.0,,,328.0,Twitter
156,Facebook,March,2020-03-09,Monday,"With the launch of our new website, we are excited to kick off our first video highlighting our partnership with Okta! From managing metadata to building mobile SDKs, find out more on how we helped scale their engineering organization: http://bit.ly/32ChGYt",Video,5454,0.0163,0.0,0.0,4246.0,89,,,,,4335,89.0,,,257.0,Twitter
157,Twitter,March,2020-03-10,Tuesday,"Have you checked out our new website yet? Visit ðŸ‘‰ , share your thoughts and find out how we help growth-stage companies scale their teams to build the next Big Thing! ðŸ†ðŸ¥‡

#Lohika #WhatWeDo #HowWeDoIt #Insights #Events #Engineering #SoftwareDevelopment https://t.co/qaDY9OhlwA",Video,284,0.0,6218.0,1.0,5.0,2814,0.0,4.0,3.0,6.0,6,2839.0,25.0,,,LinkedIn
158,LinkedIn,March,2020-03-10,Tuesday,"Have you checked out our new website yet? 
Visit ?? www.lohika.com, share your thoughts and find out how we help growth-stage companies scale their teams to build the next Big Thing! ????

#Lohika #WhatWeDo #HowWeDoIt #Insights #Events #Engineering #SoftwareDevelopment #EngineeringLeadership",Video,2070,0.0145,1.0,9.0,431.0,30,,,,,471,0.0,,,292.0,Twitter
159,Twitter,March,2020-03-11,Wednesday,"Lohika engineers display more than technical talent â€“ they are also critical thinkers and innovative problem solvers. Find out what some of our clients say about the Lohika experience: https://t.co/ABmDWc5Mbf

#LifeAtLohika #Software #Engineering #EngineeringTalent #Innovation https://t.co/3iWIKItMr5",Article,303,0.0008,1307.0,2.0,4.0,12,1.0,6.0,0.0,3.0,12,41.0,29.0,,,LinkedIn
160,LinkedIn,March,2020-03-11,Wednesday,"Lohika engineers display more than technical talent – they are also critical thinkers and innovative problem solvers. Find out what some of our clients say about the Lohika experience: https://bit.ly/3cq6Skv

#LifeAtLohika #SoftwareEngineers #Engineering #EngineeringTalent #Innovation",Article,3418,0.0181,3.0,12.0,0.0,62,,,,,77,0.0,,,285.0,Twitter
161,Facebook,March,2020-03-11,Wednesday,"Have you checked out our new website yet? Visit ?? www.lohika.com, share your thoughts and find out how we help growth-stage companies scale their teams to build the next Big Thing! ???? #Lohika #WhatWeDo #HowWeDoIt #Insights #Events #Engineering #SoftwareDevelopment #EngineeringLeadership",Video,1016,0.0187,0.0,0.0,847.0,19,,,,,866,19.0,,,290.0,Twitter
162,Twitter,March,2020-03-12,Thursday,"At Lohika, we have a passion for building what hasn't been builtâ€¦ Yet! Learn more about our journey and how we help growth stage companies scale their teams to build the next Big Thing. ðŸ‘‰ https://t.co/4Gcqa4yDlR

#WhatWeDo #HowWeDoIt #Engineering #LifeAtLohika #Software https://t.co/96ICs1I3yw",Video,299,0.0,615.0,4.0,7.0,43,0.0,0.0,0.0,4.0,3,61.0,18.0,,,LinkedIn
163,Twitter,March,2020-03-13,Friday,"At Lohika, we believe that it takes courage and ambition to build new #products. It also takes a unique #engineeringculture thatâ€™s willing and able to go with you. @edmondlau shares a general framework for thinking about success as a tech lead. https://t.co/tJSUPX7usr",Article,270,0.0024,828.0,1.0,2.0,0,2.0,2.0,0.0,0.0,0,7.0,7.0,,,LinkedIn
164,LinkedIn,March,2020-03-13,Friday,"At Lohika, we believe that it takes courage and ambition to build new products. It also takes a unique engineering culture that’s willing and able to go with you. 

What does success as a tech lead look like? Edmond Lau shares a general framework for thinking about success as a tech lead. http://bit.ly/312gbCg

#Leadership #Engineers #Technology #EngineeringLeadership #Product",Article,708,0.0155,0.0,5.0,0.0,11,,,,,16,0.0,,,379.0,Twitter
165,LinkedIn,March,2020-03-13,Friday,Our team is so proud to work at Lohika! :-) https://lnkd.in/e7y-Axp,Status Update,560,0.0179,0.0,7.0,0.0,10,,,,,17,0.0,,,67.0,Twitter
166,Twitter,March,2020-03-16,Monday,"Reach out to us and let's talk about how we can help you accelerate your time to market! https://t.co/HKydflu8PQ

#Engineering #Technology #ProductDevelopment #Software #EngineeringLeadership #EngineeringTalent #WhatWeDo #HowWeDoIt https://t.co/278e9qBYtM",Graphic,255,0.0,422.0,2.0,3.0,39,0.0,0.0,0.0,2.0,1,47.0,8.0,,,LinkedIn
167,LinkedIn,March,2020-03-16,Monday,"Reach out to us and let's talk about how we can help you accelerate your time to market! http://bit.ly/2PA7lac

#Engineering #Technology #ProductDevelopment #Software #EngineeringLeadership #EngineeringTalent #WhatWeDo #HowWeDoIt",Graphic,1171,0.006,0.0,3.0,223.0,7,,,,,233,0.0,,,229.0,Twitter
168,Twitter,March,2020-03-18,Wednesday,"Most high-growth #technology companies face brutal challenges to attract, recruit and retain the best #engineers. At Lohika, we have spent time perfecting our groundbreaking engagement model. Looking to scale your #engineering organization? Talk to us! https://t.co/aeMciA1tPF https://t.co/Q6ZBhj0ofq",Article,300,0.0008,8518.0,3.0,18.0,88,7.0,286.0,10.0,256.0,88,758.0,670.0,,,Facebook
169,Twitter,March,2020-03-18,Wednesday,At #Lohika we have implemented a #remotework #culture in an effort to slow down the spread of the #Coronavirus crisis and preserve the health and safety of our team. @gitlab. CEO @sytses shares practical tips for building a productive all-remote workforce. https://t.co/qEHfUu1Q7f,Article,280,0.0018,549.0,2.0,10.0,0,1.0,4.0,0.0,1.0,0,18.0,18.0,,,LinkedIn
170,LinkedIn,March,2020-03-18,Wednesday,"Most high-growth technology companies face brutal challenges to attract, recruit and retain the best engineers. That's where Lohika comes in… 

We have spent time building, refining and perfecting our groundbreaking engagement model of remote agile teams. Looking to scale your engineering organization? Talk to us! https://bit.ly/2TWyJjS

#Technology #Engineers #SoftwareDevelopment #Product #Agile #EngineeringTeams #EngineeringTalent #Startups",Article,4242,0.0104,1.0,6.0,0.0,44,,,,,51,0.0,,,446.0,Twitter
171,LinkedIn,March,2020-03-19,Thursday,"Like most companies, we at Lohika have implemented a remote work culture in an effort to slow down the spread of the Coronavirus crisis and preserve the health and safety of our team.

Shifting to a work from home strategy though ineffective can definitely bring about a new set of challenges with teams trying to stay connected and productive.

GitLab Inc. CEO Sid Sijbrandij shares practical tips for building a productive all-remote workforce. 

#Lohika #LeadershipDevelopment #EmployeeEngagement #Leadership #RemoteWork #Management #EngineeringTeams",Image,1040,0.0087,0.0,7.0,0.0,9,,,,,16,0.0,,,553.0,Twitter
172,LinkedIn,March,2020-03-20,Friday,"Years from now, when we look back on #COVID19, we'll call it a turning point in the way work gets done. Transformational leader Don Williams shares his insights on how engineering leaders cannot only adopt and adjust to the shift, but also thrive. https://bit.ly/2vDZKAM

#RemoteWork #EngineeringLeadership #Product #Leadership #Engineering #CoronaVirus #Management",Article,790,0.0101,2.0,6.0,0.0,8,,,,,16,0.0,,,365.0,Twitter
173,Twitter,March,2020-03-20,Friday,"Years from now, when we look back on #COVID19, we'll call it a turning point in the way work gets done. Transformational leader Donald .A. Williams shares his insights on how #engineeringleaders cannot only adopt and adjust to the shift, but also thrive. https://t.co/5ZRkSQzK5P https://t.co/tNfBo9x7Uf",Article,302,0.0151,664.0,6.0,8.0,7,10.0,15.0,0.0,7.0,7,60.0,53.0,,,LinkedIn
174,Facebook,March,2020-03-20,Friday,"Years from now, when we look back on #COVID19, we'll call it a turning point in the way work gets done. Transformational leader Donald .A. Williams shares his insights on how engineering leaders cannot only adopt and adjust to the shift, but also thrive. https://bit.ly/2vDZKAM #RemoteWork #EngineeringLeadership #Product #Leadership #Engineering #CoronaVirus #Management",Article,32,0.0313,0.0,0.0,0.0,1,,,,,1,1.0,,,371.0,Twitter
175,Twitter,March,2020-03-23,Monday,"â€œThe surprise of working with Lohika has really been the lack of surprises. Itâ€™s been highly positive.â€ David Erickson, CEO - Forward Networks. 

With our expertise, find out how we helped Forward Networks set up their extended development team remotely. ðŸ‘‰https://t.co/Cxt02X5K4i https://t.co/kKVTptFQiM",Video,312,0.0001,21513.0,1.0,2.0,12285,2.0,96.0,0.0,26.0,19,12431.0,146.0,,,LinkedIn
176,LinkedIn,March,2020-03-23,Monday,"“The surprise of working with Lohika has really been the lack of surprises. It’s been highly positive.” David Erickson, CEO, and Co-founder at Forward Networks. 

With our expertise and direct access to a vast talent pool, find out more about how we helped Forward Networks set up their extended development team remotely. https://bit.ly/2Jasjc8

#ClientDevelopment #Engineering #Scaling #ProductDevelopment #EngineeringTeams #Software #EngineeringTalent",Video,4604,0.0067,4.0,12.0,2041.0,31,,,,,2088,0.0,,,454.0,Twitter
177,Facebook,March,2020-03-23,Monday,"“The surprise of working with Lohika has really been the lack of surprises. It’s been highly positive.” David Erickson, CEO, and Co-founder at Forward Networks. With our expertise and direct access to a vast talent pool, find out more about how we helped Forward Networks set up their extended development team remotely. https://bit.ly/2Jasjc8 #ClientDevelopment #Engineering #Scaling #ProductDevelopment #EngineeringTeams #Software",Video,7093,0.0323,0.0,0.0,5425.0,229,,,,,5653,228.0,,,432.0,Twitter
178,Twitter,March,2020-03-24,Tuesday,"When it comes to high-growth #tech companies, at Lohika we understand the concept of distributed teams is prevalent. In this @Plato article, InVisionâ€™s Director of #Engineering, @rscheuermann shares actionable steps to effectively manage a #remoteteam. https://t.co/up2GuENrS1",Article,278,0.0,353.0,2.0,5.0,2,0.0,0.0,0.0,0.0,2,11.0,9.0,,,LinkedIn
179,LinkedIn,March,2020-03-24,Tuesday,"When it comes to high-growth tech companies, the concept of distributed teams is prevalent. At Lohika, it is part of our culture. 

In this Plato article, InVision’s Director of Engineering, Ryan Scheuermann shares actionable steps on how to effectively manage a remote team. 

#CompanyCulture #Lohika #Engineering #Leadership #EngineeringTeams #RemoteTeams #Engineers",Article,660,0.0242,0.0,6.0,0.0,16,,,,,22,0.0,,,368.0,Twitter
180,LinkedIn,March,2020-03-25,Wednesday,https://lnkd.in/dAWzkbY,Status Update,699,0.0143,0.0,3.0,0.0,10,,,,,13,0.0,,,23.0,Twitter
181,Twitter,March,2020-03-27,Friday,"For leaders who are suddenly managing remote teams, here's a great playbook from the largest all-remote company in the world. @gitlab https://t.co/e38pcXAV5F

#RemoteWork #EngineeringLeaders #EngineeringLeadership #Product #Leadership #Engineers #CoronaVirus #Management",Article,270,0.0019,519.0,1.0,1.0,0,1.0,3.0,0.0,1.0,0,7.0,7.0,,,LinkedIn
182,LinkedIn,March,2020-03-27,Friday,"For leaders who are suddenly managing work-from-home teams, here are some recommended reads from us via GitLab Inc.: 

? Remote work emergency plan: http://bit.ly/390eBTq 
? Transitioning a hybrid team to a fully remote team? http://bit.ly/2UfSTWl 
? Resources for companies embracing remote work: http://bit.ly/2IUh2wn

#RemoteWork #EngineeringLeaders #EngineeringLeadership #Product #Leadership #Engineers #CoronaVirus #Management",Article,847,0.013,0.0,4.0,0.0,11,,,,,15,0.0,,,432.0,Twitter
183,Twitter,March,2020-03-30,Monday,"As organizations begin to work on implementing #ProductDevelopment strategies while working remotely, find out how we helped Forward Networks scale up multiple teams to tackle their #engineering needs: https://t.co/m34d8st4fF

#ClientDevelopment #SoftwareEngineering #Product https://t.co/tJF0zlmsI9",Graphic,299,0.0,145.0,1.0,1.0,0,0.0,1.0,0.0,1.0,0,4.0,4.0,,,LinkedIn
184,LinkedIn,March,2020-03-30,Monday,"As organizations begin to work on implementing #ProductDevelopment strategies while working remotely, find out how we helped Forward Networks scale up multiple teams to tackle their #engineering needs: http://bit.ly/3cYkPGU

#ClientDevelopment #SoftwareEngineering #Product #WhatWeDo #HowWeDoIt #EngineeringTalent",Graphic,10932,0.0049,0.0,1.0,0.0,53,,,,,54,0.0,,,313.0,Facebook
185,Twitter,March,2020-03-31,Tuesday,"Weâ€™re thrilled to participate at #Oktane20 Live! Weâ€™ve helped #Okta scale and grow their engineering team. Schedule a meeting to learn how you can too: https://t.co/W6e6rfa3T3

#SoftwareEngineering #Product #WhatWeDo #HowWeDoIt #EngineeringTalent
#EngineeringTeams https://t.co/wsfBiRHAcf",Image,292,0.0,140.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0,2.0,2.0,,,LinkedIn
186,LinkedIn,March,2020-03-31,Tuesday,"We’re thrilled to participate at #Oktane20 Live! We’ve helped #Okta scale and grow their engineering team. Schedule a meeting to learn how you can too: https://lnkd.in/gEWdzMP

#SoftwareEngineering #Product #WhatWeDo #HowWeDoIt #EngineeringTalent
#EngineeringTeams",Image,546,0.011,1.0,8.0,0.0,6,,,,,15,0.0,,,264.0,Twitter
187,Facebook,March,2020-03-31,Tuesday,We’re thrilled to participate at #Oktane20 Live! We’ve helped #Okta scale and grow their engineering team. Schedule a meeting to learn how you can too: https://www.lohika.com/contact #SoftwareEngineering #Product #WhatWeDo #HowWeDoIt #EngineeringTalent #EngineeringTeams,Image,937,0.0128,0.0,0.0,18.0,12,,,,,19,1.0,,,270.0,Twitter
188,Twitter,April,2020-04-01,Wednesday,"Todayâ€™s the day! We're excited to join thought leaders at the #Oktane20 virtual conference. Replacing the in-person event with dynamic video content, enjoy a virtual experience! Register for free here: https://t.co/P6gdxj9yGp

#RemoteWork #EngineeringLeaders #Product #CoronaVirus https://t.co/IirbHPL7ZG",Article,306,0.0,1196.0,2.0,3.0,2,0.0,2.0,,,2,13.0,11.0,,,LinkedIn
189,Facebook,April,2020-04-01,Wednesday,"Today’s the day! We're excited to join #Oktane20 and listen to thought leaders as they keep you up-to-date on the latest in identity, security, and digital transformation.   Replacing the in-person event with dynamic video content, enjoy a virtual experience! Register for free here: ?? https://bit.ly/3dIMonT  #RemoteWork #EngineeringLeaders #EngineeringLeadership #Product #Leadership #Engineers #CoronaVirus #Management",Image,39,0.0256,,,0.0,1,,,,,2,2.0,,,422.0,Twitter
190,Twitter,April,2020-04-02,Thursday,"Congrats to our client @okta on #Oktane20, a fabulous online event.

Two days of keynotes, sessions and attendee networking, enjoyed by several members of our team ðŸ§‘â€ðŸ’»ðŸ‘¨â€ðŸ’»

A conference-like experience from our browsers.

Bravo! ðŸ‘ https://t.co/qs2auvSJQs",Image,272,0.0,1334.0,0.0,6.0,8,0.0,4.0,0.0,0.0,8,28.0,20.0,,,LinkedIn
191,Twitter,April,2020-04-02,Thursday,"Our core development model ensures your expectations and outcomes are always the same. In light of all that has, and is happening, reach out to our team at Lohika and find out how we can continue to help your company scale. https://t.co/W6e6rfa3T3

#Startup #EngineeringMangement https://t.co/b72FHC4YaT",Video,303,0.0,997.0,0.0,3.0,24,0.0,3.0,0.0,0.0,2,32.0,8.0,,,LinkedIn
192,Twitter,April,2020-04-02,Thursday,We are proud to be part of such a great team!ðŸ˜€ https://t.co/TzlkW4zmdI,Status Update,73,0.0,744.0,0.0,1.0,0,0.0,2.0,0.0,2.0,0,3.0,3.0,,,LinkedIn
193,Facebook,April,2020-04-02,Thursday,"While traditional outsourcing vendors seek the comfort of peripheral engineering tasks, our core development model ensures your expectations and outcomes are always the same.   In light of all that has, and is happening, reach out to our team at Lohika and find out how we can continue to help your company scale. https://www.lohika.com/contact  #Startup #VPEngineering #EngineeringMangement #Leadership #Engineering",Video,38,0.0263,,,13.0,1,,,,,14,1.0,,,416.0,Twitter
194,Twitter,April,2020-04-03,Friday,"The concept of #distributedteams is prevalent now more than ever. Skyscanner's #Engineering manager Ardy Dedase shares practical guidelines you can implement to ensure productivity working with multiple teams and across multiple time zones. https://t.co/SXmJrCggnY

#RemoteWork https://t.co/hENfogYl90",Article,301,0.001,1015.0,0.0,2.0,1,1.0,0.0,0.0,1.0,1,5.0,4.0,,,LinkedIn
195,Twitter,April,2020-04-05,Sunday,"How are you remaining productive during this social-distancing time? Our very own Communication Consultant at Lohika @dshiao was featured on ABC7 TV and shared this awesome way his community is making the best of staying indoors and working from home. 

#RemoteWork #COVID19 https://t.co/hkXCamiXID",Video,298,0.0,1098.0,0.0,3.0,36,0.0,3.0,0.0,0.0,0,43.0,7.0,,,LinkedIn
196,LinkedIn,May,2020-04-05,Monday,"Often in tech, management structure and process are cast as the enemy of innovation. At Twilio, however, they’ve seen that structure and process can support and boost innovation when paired with small teams, even while expanding to a global enterprise.

Twilio’s structure prioritizes agility alongside resilience with their self-service platforms as their foundation, allowing thier teams to move quickly with confidence (and without breaking things). Here's how: https://bit.ly/3eXYKJC

#EngineeringTeams #EngineeringLeadership #ProductDevelopment #Scaling #EngineeringStructure #Growth",Article,652,0.0123,0.0,4.0,0.0,8,,,,,12,,,,588.0,Twitter
197,Facebook,April,2020-04-05,Sunday,How are you remaining productive during this social-distancing time? Our very own Communication Consultant at Lohika Dennis Shiao ?? was featured on ABC7 TV and shared this awesome way his community is making the best of staying indoors and working from home.   #RemoteWork #COVID19 #CoronaVirus #SocialDistancing #StaySafe #StayPositive #Lohika,Video,61,0.0164,,,25.0,1,,,,,26,1.0,,,345.0,Twitter
198,Twitter,April,2020-04-06,Monday,"Digitally capable work, including #softwareengineering, is increasingly remote and itâ€™s global. Check out some insights on how engineering leaders can adapt and adjust to this new world. https://t.co/fFWLkd72cw

#RemoteWork #EngineeringLeadership #Product #Leadership #Engineering https://t.co/QWoxUiGRQi",Graphic,306,0.0,1261.0,2.0,3.0,43,0.0,0.0,0.0,1.0,0,51.0,8.0,,,LinkedIn
199,Facebook,April,2020-04-07,Tuesday,"Congrats to Creator on their Burger Creator app, a project we delivered with sister company frog design.  Burgers made by robots! ??  Browse the menu, customize your order and see robot production times. Download: https://apps.apple.com/us/app/burger-creator/id1482057614",Image,56,0.0179,,,0.0,1,,,,,4,4.0,,,271.0,Twitter
